Region,Country,Region Code,Property Type,Abbreviation,Code,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Europe,Belgium,BE,Healthcare,HEC,BE.HEC.EUI,kWh/sqm,320.842576709557,297.22470311898,275.345389163042,255.076655936629,236.299945321717,218.905426504096,202.79135353882,187.863470206561,174.034458679695,161.223428773206,149.35544479285,138.361087213011,128.176046620317,118.740747547903,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
Europe,Belgium,BE,Leisure/Lodging,LEI,BE.LEI.EUI,kWh/sqm,319.47064097415,294.035772967929,270.625918930194,249.079856024186,229.249197276748,210.99736964249,194.198673430055,178.737416612793,164.507118061862,151.409774214464,139.355184126768,128.26032826321,118.048796743876,108.650263112372,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Europe,Bulgaria,BG,Residential Single-Family,RSF,BG.RSF.EUI,kWh/sqm,112.915247038142,108.254468755108,103.786072411391,99.5021170992002,95.394989685883,91.45739128442,87.6823242823759,84.063079906254,80.593226299153,77.266597090541,74.0772804378319,71.0196085202899,68.0881474665925,65.2776876981514,62.5832346710289,59.9999999999999,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
Europe,Bulgaria,BG,Residential Multi-Family,RMF,BG.RMF.EUI,kWh/sqm,119.590039966505,113.554981164959,107.824478953145,102.38316401663,97.2164426466749,92.3104575996416,87.6520509315991,83.2287287084737,79.0286274970833,75.0404825471867,71.253597579212,67.6578160966348,64.2434941460633,61.0014744519746,57.9230618567303,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
Europe,Bulgaria,BG,Office,OFF,BG.OFF.EUI,kWh/sqm,185.650556786515,176.229158464729,167.285877461169,158.796450268211,150.737844703225,143.088197421264,135.826754598864,128.933815628027,122.39067966762,116.179594907186,110.283710405515,104.68703037331,99.3743707759241,94.3313181384174,89.5441904411753,84.9999999999999,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0
Europe,Bulgaria,BG,Retail High Street,RHS,BG.RHS.EUI,kWh/sqm,228.847553139979,217.180594182638,206.108432632762,195.600744910983,185.628753375177,176.165147506489,167.18400911339,158.660741348948,150.572001346877,142.895636291909,135.610622749374,128.697009087843,122.135860837148,115.909208832112,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
Europe,Bulgaria,BG,Shopping Center,RSM,BG.RSM.EUI,kWh/sqm,207.590239672985,197.049214806164,187.043442489838,177.545743650204,168.530319313476,159.972680527109,151.849581839499,144.138958157441,136.81986480985,129.872420654924,123.277754076213,117.017951720908,111.076009841089,105.435788105777,100.081965758316,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
Europe,Bulgaria,BG,Retail Warehouse,RWB,BG.RWB.EUI,kWh/sqm,172.63755731336,163.304072179701,154.475193031529,146.123638826774,138.223603446928,130.7506759567,123.681765174774,116.99502832256,110.669803530491,104.686545993304,99.0267675770168,93.672979691008,88.6086392486521,83.8180975495483,79.2865519253809,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
Europe,Bulgaria,BG,Hotel,HOT,BG.HOT.EUI,kWh/sqm,206.602579179459,196.174067371771,186.271947146197,176.869648259271,167.941941632283,159.464871654386,151.415691902788,143.77280410754,136.51570019715,129.624907269517,123.081935340515,116.869227730042,110.970113952379,105.368764984477,100.050150792117,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
Europe,Bulgaria,BG,Distribution Warehouse Cold,DWC,BG.DWC.EUI,kWh/sqm,145.222927123731,137.644986504294,130.462473694839,123.654754705109,117.202272256053,111.086489595491,105.289837245555,99.7956625289329,94.5881817288984,89.6524347457005,84.9742421190497,80.540164293231,76.3374630078216,72.3540647030974,68.5785258349969,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
Europe,Bulgaria,BG,Distribution Warehouse Warm,DWW,BG.DWW.EUI,kWh/sqm,55.4670902208695,52.5971677103132,49.8757378497913,47.2951174816462,44.8480209824519,42.5275396941976,40.327122419721,38.240556927328,36.2619524123816,34.3857228663461,32.6065713063324,30.919474820624,29.3196703879606,27.8026414305476,26.3641050628253,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Europe,Bulgaria,BG,Healthcare,HEC,BG.HEC.EUI,kWh/sqm,241.718353450421,229.358671512097,217.630971942658,206.502939855962,195.943912709221,185.924795814428,176.417982169905,167.397276391069,158.837822530815,150.716035590629,143.009536533712,135.69709062105,128.758548900526,122.174792687835,115.92768088624,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
Europe,Bulgaria,BG,Leisure/Lodging,LEI,BG.LEI.EUI,kWh/sqm,225.384631832137,213.499082539905,202.240311927435,191.575267124912,181.472638289591,171.902766688103,162.837557626005,154.250397968944,146.116078013306,138.410717476976,131.111695392937,124.197583699903,117.64808433501,111.443969643899,105.567025933243,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Europe,Cyprus,CY,Residential Single-Family,RSF,CY.RSF.EUI,kWh/sqm,67.2521149146997,65.2053716582896,63.2209187545765,61.296860466014,59.4313587497177,57.6226315015924,55.8689508538971,54.1686415246223,52.5200792171017,50.9216890683298,49.3719441445038,47.8693639823514,46.412513174852,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
Europe,Cyprus,CY,Residential Multi-Family,RMF,CY.RMF.EUI,kWh/sqm,67.2521149146997,64.8019952783997,62.4411380577099,60.1662912568002,57.9743213560973,55.8622089959744,53.827044817692,51.8660254558607,49.9764496769068,48.1557146582199,46.4013124028586,44.710826284875,43.0819277204995,41.5123729606003,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
Europe,Cyprus,CY,Office,OFF,CY.OFF.EUI,kWh/sqm,279.18,257.465623247661,237.440171768416,218.972282428494,201.940809404022,186.234029487584,171.74890920533,158.390428937088,146.070959605816,134.709687847608,124.232085891476,114.569422671415,105.658312963753,97.4403015921954,89.8614799730447,82.8721324851964,76.4264103451673,70.48203084784,64.9999999999999,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
Europe,Cyprus,CY,Retail High Street,RHS,CY.RHS.EUI,kWh/sqm,343.599345496842,316.87483709126,292.228910495802,269.499897541467,248.538704304222,229.207833103969,211.380480570586,194.93970586068,179.777663568888,165.794896301869,152.899682274569,141.007433649215,130.040141670358,119.925864956276,110.598257590097,101.996133915108,94.063067179461,86.7470193975383,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
Europe,Cyprus,CY,Shopping Center,RSM,CY.RSM.EUI,kWh/sqm,313.02,287.787184517963,264.588408321436,243.259705727797,223.650328471251,205.621680235317,189.046337073588,173.807146795226,159.796400949774,146.915073559003,135.072121215241,124.183839599397,114.173271870618,104.969664746179,96.5079684272484,88.7283768360687,81.5759049150247,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
